No;Parametername;min;max;nominal;table;0.3
1;pc_MaxAssimilationRate;36.4;67.6;52;crop;
$54_1$;pc_SpecificLeafArea1;0.0014;0.0026;0.002;dev_stage;
$45_5$;pc_StageTemperatureSum5;294;546;420;dev_stage;
$46_5$;pc_BaseTemperature5;6.3;11.7;9;dev_stage;
39;pc_LT50cultivar;-16.8;-31.2;-24;crop;
$52_2$;pc_StageKcFactor2;0.49;0.91;0.7;dev_stage;
$52_3$;pc_StageKcFactor3;0.77;1.43;1.1;dev_stage;
$52_4$;pc_StageKcFactor4;0.77;1.43;1.1;dev_stage;
$52_5$;pc_StageKcFactor5;0.56;1.04;0.8;dev_stage;
67;pc_ReferenceAlbedo;0.161;0.299;0.23;user_parameter;
