No;Parametername;min;max;nominal;table;0.3
1;pc_MaxAssimilationRate;36.4;67.6;52;crop;
2;pc_MinimumTemperatureForAssimilation;2.8;5.2;4;crop;
7;pc_NConcentrationAbovegroundBiomass;0.042;0.078;0.06;crop;
30;pc_RootPenetrationRate;0.00077;0.00143;0.0011;crop;
35;pc_BeginSensitivePhaseHeatStress;434;806;620;crop;
36;pc_EndSensitivePhaseHeatStress;518;962;740;crop;
39;pc_LT50cultivar;-16.8;-31.2;-24;crop;
$44_1-2$;pc_AssimilatePartitioningDevStage1Organ2;0.35;0.65;0.5;crop2ods_dependent_param;
$45_1$;pc_StageTemperatureSum1;103.6;192.4;148;dev_stage;
$48_2$;pc_VernalisationRequirement2;35;65;50;dev_stage;
$54_1$;pc_SpecificLeafArea1;0.0014;0.0026;0.002;dev_stage;
$56_1$;pc_OrganMaintenanceRespiration1;0.007;0.013;0.01;organ;
$62_1$;pc_MaintenanceRespirationParameter1;0.07;0.09;0.08;user_parameter;
65;pc_MinimumAvailableN;0.00056;0.00104;0.0008;user_parameter;
75;po_CN_Ratio_SMB;4.69;8.71;6.7;user_parameter;
85;po_AOM_SlowUtilizationEfficiency;0.28;0.52;0.4;user_parameter;
