No;Parametername;min;max;nominal;table;0.3
1;pc_MaxAssimilationRate;36.4;67.6;52;crop;
5;pc_NConcentrationPN;1.12;2.08;1.6;crop;
10;pc_LuxuryNCoeff;0.91;1.69;1.3;crop;
34;pc_LimitingTemperatureHeatStress;28;52;40;crop;
35;pc_BeginSensitivePhaseHeatStress;434;806;620;crop;
36;pc_EndSensitivePhaseHeatStress;518;962;740;crop;
39;pc_LT50cultivar;-16.8;-31.2;-24;crop;
$44_1-2$;pc_AssimilatePartitioningDevStage1Organ2;0.35;0.65;0.5;crop2ods_dependent_param;
$44_3-3$;pc_AssimilatePartitioningDevStage3Organ3;0.469;0.871;0.67;crop2ods_dependent_param;
$45_1$;pc_StageTemperatureSum1;103.6;192.4;148;dev_stage;
$45_3$;pc_StageTemperatureSum3;266;494;380;dev_stage;
$45_5$;pc_StageTemperatureSum5;294;546;420;dev_stage;
$46_5$;pc_BaseTemperature5;6.3;11.7;9;dev_stage;
$48_2$;pc_VernalisationRequirement2;35;65;50;dev_stage;
$49_3$;pc_DaylengthRequirement3;14;26;20;dev_stage;
$52_2$;pc_StageKcFactor2;0.49;0.91;0.7;dev_stage;
$52_3$;pc_StageKcFactor3;0.77;1.43;1.1;dev_stage;
$52_4$;pc_StageKcFactor4;0.77;1.43;1.1;dev_stage;
$52_5$;pc_StageKcFactor5;0.56;1.04;0.8;dev_stage;
$54_1$;pc_SpecificLeafArea1;0.0014;0.0026;0.002;dev_stage;
$56_3$;pc_OrganMaintenanceRespiration3;0.105;0.195;0.15;organ;
$62_1$;pc_MaintenanceRespirationParameter1;0.07;0.09;0.08;user_parameter;
65;pc_MinimumAvailableN;0.00056;0.00104;0.0008;user_parameter;
67;pc_ReferenceAlbedo;0.161;0.299;0.23;user_parameter;
85;po_AOM_SlowUtilizationEfficiency;0.28;0.52;0.4;user_parameter;
